,id,age,cause,vus,country,kpp,yService,voenk,kategory,katZ,date,date_wo_time
132,2697,41.0,порванный паспорт,служил,Казахстан,,,,,,2022-09-25T22:15:01,2022-09-25
133,2697,25.0,отказ от военкомата,электрик,Киргизия,Шереметьево,,Москва,А,,2022-09-27T22:15:01,2022-09-27
134,2703,30.0,отказ от военкомата,"водитель, МЧС, спецучет",Мальдивская Республика,Шереметьево,,,,1.0,2022-09-27T22:23:01,2022-09-27
135,2717,29.0,отказ от военкомата,служил,Грузия,Верхний Ларс,,,А,,2022-09-27T22:44:01,2022-09-27
136,2722,24.0,,служил,Казахстан,Маштаково,,,,,2022-09-27T22:50:06,2022-09-27
137,2736,27.0,отказ от военкомата,"морская пехота, дшб",Казахстан,Николаевка,,,,,2022-09-27T23:15:10,2022-09-27
138,2737,25.0,отказ от военкомата,служил,Казахстан,Мариинский,,Челябинская область,,,2022-09-27T23:17:01,2022-09-27
139,2738,35.0,,"служил, мобилизационное предписание",Таджикистан,Жуковский,,,,,2022-09-27T23:19:01,2022-09-27
140,2744,33.0,,связист,Таджикистан,Жуковский,,,А,,2022-09-27T23:35:05,2022-09-27
141,2761,24.0,отказ от военкомата,"131, военная кафедра, командир артиллерийских орудий",Турция,Шереметьево,,,Б1,,2022-09-27T22:36:42,2022-09-27
142,2762,,отсутствие загранпаспорта,,Польша,,,,,,2022-09-28T09:40:41,2022-09-28
143,2772,27.0,отказ от военкомата,"441, военная кафедра",Узбекистан,Шереметьево,,,,,2022-09-28T10:05:46,2022-09-28
144,2773,25.0,отказ от военкомата,служил,Армения,Домодедово,,Москва,А2,,2022-09-28T10:07:14,2022-09-28
145,2776,30.0,отказ во въезде,,Молдова,Стамбул,,,,,2022-09-28T10:09:49,2022-09-28
146,2784,26.0,отказ от военкомата,"980669П, слесарь паросиловых и котельных установок",Казахстан,Озинки,2015-2016,,,,2022-09-27T22:00:36,2022-09-27
147,2787,27.0,отказ от военкомата,служил,Турция,Внуково,,,А1,,2022-09-28T10:41:20,2022-09-28
148,2797,26.0,отказ от военкомата,"служил, контрактник, офицер,  инженер-техник",Узбекистан,Домодедово,,,А,1.0,2022-09-28T11:12:56,2022-09-28
149,2802,37.0,,"офицер запаса, ВМФ",Казахстан,Петухово,,Ленинградская область,Б1,,2022-09-28T11:20:56,2022-09-28
150,2808,26.0,отказ от военкомата,ВМФ,Турция,Шереметьево,,Архангельская область,,,2022-09-28T02:00:51,2022-09-28
151,2815,26.0,отказ от военкомата,военная кафедра,Узбекистан,Шереметьево,,,,,2022-09-27T19:15:12,2022-09-27
152,2819,,,связист сержант,Таджикистан,Домодедово,2013-2014,,А,,2022-09-28T11:41:38,2022-09-28
153,2831,37.0,,военная кафедра,Финляндия,Торфяновка,,,А,,2022-09-28T12:30:03,2022-09-28
154,2831,28.0,,военная кафедра,Казахстан,Петухово,,,А,,2022-09-26T12:30:03,2022-09-26
155,2835,25.0,испорченный паспорт,,Казахстан,Аксарайский,2017-2018,,А,,2022-09-28T12:40:27,2022-09-28
156,2846,38.0,отказ от военкомата,военная кафедра,Грузия,Верхний Ларс,,Санкт-Петербург,,,2022-09-27T13:33:38,2022-09-27
157,2847,31.0,,служил,Узбекистан,Внуково,,,,,2022-09-28T13:34:42,2022-09-28
158,2854,38.0,,"100, ВМФ, офицер",Казахстан,Петухово,,Санкт-Петербург,Б,,2022-09-28T05:30:16,2022-09-28
159,2860,27.0,отказ от военкомата,"танкист, сержант, контрактник",Казахстан,Вишнёвка,,Нижний Новгород,,,2022-09-28T13:52:51,2022-09-28
160,2866,27.0,отказ от военкомата,помощник делопроизводителя,Грузия,Верхний Ларс,,,Б,,2022-09-28T13:58:57,2022-09-28
161,2875,,отказ от военкомата,124182,,Внуково,,,,,2022-09-27T14:12:26,2022-09-27
162,2890,21.0,,стрелок,Казахстан,,2020-2021,,,,2022-09-28T14:31:41,2022-09-28
163,2896,,отказ от военкомата,служил,Египет,Внуково,,Москва,А1,,2022-09-28T14:37:54,2022-09-28
164,2902,24.0,,,Грузия,Верхний Ларс,,,А,,2022-09-28T14:46:12,2022-09-28
165,2908,,отказ от военкомата,военная кафедра,Грузия,Верхний Ларс,,,,,2022-09-25T14:50:13,2022-09-25
166,2908,,,служил,Грузия,Верхний Ларс,,,,,2022-09-25T14:50:13,2022-09-25
167,2941,27.0,отказ от военкомата,425640А радиотелеграфист,Казахстан,Маштаково,,,Б3,,2022-09-28T15:49:26,2022-09-28
168,2943,28.0,отказ от военкомата,,ОАЭ,Домодедово,,,,1.0,2022-09-28T15:57:16,2022-09-28
169,2949,30.0,отказ от военкомата,оркестр,,Внуково,,,1,,2022-09-28T16:07:08,2022-09-28
170,2949,30.0,отказ от военкомата,не служил,,Внуково,,,,,2022-09-28T16:07:08,2022-09-28
171,2952,32.0,,"стрелок, сержант",Армения,Шереметьево,,,,,2022-09-28T16:13:55,2022-09-28
172,2959,41.0,долг,не служил,Турция,Пулково,,,,,2022-09-28T16:33:17,2022-09-28
173,2966,27.0,отказ от военкомата,"886040, вожатый собак",,Домодедово,,,,,2022-09-27T16:37:17,2022-09-27
174,2970,22.0,отказ от военкомата,"не служил, приписное",Грузия,Верхний Ларс,,,,,2022-09-28T16:41:16,2022-09-28
175,2982,26.0,отказ от военкомата,,Казахстан,Орск,,,,,2022-09-28T17:09:42,2022-09-28
176,2984,30.0,отказ от военкомата,пулемётчик,Казахстан,Петухово,,,А1,,2022-09-28T17:16:16,2022-09-28
177,3000,,отказ в выезде иностранным государством,,Германия,Стамбул,,,,,2022-09-28T18:15:25,2022-09-28
178,3017,28.0,отказ от военкомата,904137А,Киргизия,Жуковский,,,А,,2022-09-27T23:10:41,2022-09-27
179,3021,,,стрелок,ОАЭ,Уфа,,,1,,2022-09-28T19:53:57,2022-09-28
180,3033,23.0,отказ от военкомата,военная кафедра,Таджикистан,Домодедово,,Москва,Б,,2022-09-28T20:45:09,2022-09-28
181,3040,28.0,отказ от военкомата,старший стрелок,Таджикистан,Новосибирск,,,А2,,2022-09-28T21:02:01,2022-09-28
182,3043,30.0,отказ от военкомата,военная кафедра,Казахстан,Новосибирск,,,,1.0,2022-09-28T21:10:01,2022-09-28
183,3057,26.0,отказ от военкомата,"артиллерия, военная кафедра",Турция,Домодедово,,,,,2022-09-27T23:17:02,2022-09-27
184,3063,,отказ в выезде иностранным государством,,Германия,Стамбул,,,,,2022-09-28T22:42:02,2022-09-28
185,3071,25.0,отказ от военкомата,,Казахстан,Маштаково,,,А1,,2022-09-27T23:20:10,2022-09-27
186,3078,,отказ от военкомата,,Казахстан,Маштаково,,Ярославская область,,,2022-09-28T23:45:04,2022-09-28
187,3078,,отказ от военкомата,,Казахстан,Маштаково,,Ярославская область,,,2022-09-28T23:45:04,2022-09-28
188,3078,,отказ от военкомата,,Казахстан,Маштаково,,Ярославская область,,,2022-09-28T23:45:04,2022-09-28
189,3078,,отказ от военкомата,,Казахстан,Маштаково,,Ярославская область,,,2022-09-28T23:45:04,2022-09-28
190,3078,,отказ от военкомата,,Казахстан,Маштаково,,Ярославская область,,,2022-09-28T23:45:04,2022-09-28
191,3078,,отказ от военкомата,,Казахстан,Маштаково,,Астраханская область,,,2022-09-28T23:45:04,2022-09-28
192,3079,31.0,отказ от военкомата,"ПВО, военная кафедра, офицер",Киргизия,Красноярск,,Ленинградская область,,,2022-09-28T23:47:02,2022-09-28
193,3081,39.0,отказ во въезде,,Молдова,Ереван,,,,,2022-09-28T23:52:01,2022-09-28
194,3098,22.0,отказ от военкомата,служил,Армения,Внуково,,,А,,2022-09-29T09:07:16,2022-09-29
195,3102,29.0,отказ от военкомата,служил,Армения,Сочи,,Республика Карелия,,1.0,2022-09-28T09:15:16,2022-09-28
196,3116,34.0,отказ от военкомата,,,,,,В,,2022-09-29T09:34:16,2022-09-29
197,3116,34.0,долг,,,,,,В,,2022-09-26T09:34:16,2022-09-26
198,3116,34.0,долг,,,,,,В,,2022-09-27T09:34:16,2022-09-27
199,3118,21.0,,,Грузия,Верхний Ларс,,,В,,2022-09-29T09:37:16,2022-09-29
200,3118,21.0,,,Грузия,Верхний Ларс,,,В,,2022-09-29T09:37:16,2022-09-29
201,3124,50.0,отказ от военкомата,служил,Финляндия,Брусничное,,,,,2022-09-29T10:26:16,2022-09-29
202,3124,33.0,отказ от военкомата,служил,Финляндия,Брусничное,,,,,2022-09-29T10:26:16,2022-09-29
203,3125,33.0,отказ от военкомата,связист,Казахстан,Сагарчин,,,А1,,2022-09-29T10:28:16,2022-09-29
204,3129,30.0,,"121300, связист, военная кафедра",Турция,Внуково,,,,1.0,2022-09-29T10:36:16,2022-09-29
205,3130,29.0,отказ от военкомата,,Казахстан,Орск,,,,,2022-09-29T05:30:16,2022-09-29
206,3134,36.0,отказ от военкомата,не служил,Грузия,Верхний Ларс,,,Б,,2022-09-25T10:57:16,2022-09-25
207,3144,,отказ от военкомата,,Финляндия,,,,Б,,2022-09-29T00:30:54,2022-09-29
208,3145,33.0,отказ от военкомата,"артиллерия, военная кафедра, офицер",Армения,Шереметьево,,,,13.0,2022-09-29T06:00:01,2022-09-29
209,3159,27.0,отказ от военкомата,не служил,Грузия,Верхний Ларс,,,В,,2022-09-29T12:10:11,2022-09-29
210,3159,,отказ от военкомата,служил,,Внуково,,,,,2022-09-29T12:10:11,2022-09-29
211,3159,,отказ от военкомата,служил,,Внуково,,,,,2022-09-29T12:10:11,2022-09-29
212,3159,,отказ от военкомата,служил,,Внуково,,,,,2022-09-29T12:10:11,2022-09-29
213,3159,,отказ от военкомата,служил,,Внуково,,,,,2022-09-29T12:10:11,2022-09-29
214,3159,,отказ от военкомата,служил,,Внуково,,,,,2022-09-29T12:10:11,2022-09-29
215,3160,24.0,отказ от военкомата,"097000, военная кафедра",Казахстан,,,"Всеволожск, Ленинградская область",,,2022-09-28T12:15:05,2022-09-28
216,3164,,,,,Внуково,,,,,2022-09-29T12:25:06,2022-09-29
217,3165,29.0,отказ от военкомата,служил,Казахстан,Караозек,,,А,,2022-09-28T12:30:10,2022-09-29
218,3165,27.0,отказ от военкомата,служил,Казахстан,Караозек,,,А,,2022-09-28T12:30:10,2022-09-28
219,3165,,отказ от военкомата,,Казахстан,Караозек,,,В,,2022-09-28T12:30:10,2022-09-28
220,3165,,отказ от военкомата,,Казахстан,Караозек,,,В,,2022-09-28T12:30:10,2022-09-28
221,3168,30.0,долг,"старший оператор СОУ, рядовой",Киргизия,Сочи,,,,,2022-09-21T12:37:01,2022-09-21
222,3170,23.0,отказ от военкомата,военная кафедра,Грузия,,,"Ульяновск, Ульяновская область",А1,,2022-09-27T21:00:05,2022-09-27
223,3171,,отказ от военкомата,,Швеция,,,,,,2022-09-28T23:45:08,2022-09-28
224,3173,24.0,отказ от военкомата,служил,Казахстан,Казанское,,,А1,,2022-09-29T02:00:07,2022-09-29
225,3175,,отказ от военкомата,,Турция,Казань,,"Кыштым, Челябинская область",В,,2022-09-29T12:55:07,2022-09-29
226,3185,23.0,отказ от военкомата,"549543А, оператор коротковолновой связи",Киргизия,Домодедово,2019-2020,,,1.0,2022-09-29T13:05:05,2022-09-29
227,3192,,отказ от военкомата,старший телефонист,Армения,Шереметьево,,,Б,,2022-09-29T13:17:01,2022-09-29
228,3194,37.0,отказ от военкомата,"170202, военная кафедра",Турция,Шереметьево,,Санкт-Петербург,,,2022-09-29T13:17:44,2022-09-29
229,3196,,,,Таджикистан,Жуковский,,,,,2022-09-28T13:22:01,2022-09-28
230,3201,29.0,отказ от военкомата,рота почётного караула,Казахстан,Орск,,Архангельская область,А1,,2022-09-28T13:32:01,2022-09-28
231,3207,30.0,отказ от военкомата,связист,Таджикистан,Минеральные Воды,,"Смоленск, Смоленская область",,1.0,2022-09-29T13:39:04,2022-09-29
232,3207,33.0,отказ от военкомата,вдв,Таджикистан,Минеральные Воды,,"Смоленск, Смоленская область",,1.0,2022-09-29T13:39:04,2022-09-29
233,3226,33.0,долг,не служил,Казахстан,,,,В,2.0,2022-09-29T14:17:01,2022-09-29
234,3226,25.0,отказ во въезде,служил,Казахстан,,2017-2018,,А1,2.0,2022-09-29T14:17:01,2022-09-29
235,3246,24.0,отказ от военкомата,,Казахстан,,,,,,2022-09-29T15:37:01,2022-09-29
236,3265,32.0,отказ от военкомата,"191, химик",Азербайджан,Самара,,Пензенская область,,,2022-09-29T16:10:15,2022-09-29
