Column1;id;age;cause;vus;country;kpp;yService;voenk;kategory;katZ;date;date_wo_time
165;2908;NULL;отказ от военкомата;военная кафедра;Грузия;Верхний Ларс;;;;;25.09.2022 14:50;2022-09-25
166;2908;NULL;;служил;Грузия;Верхний Ларс;;;;;25.09.2022 14:50;2022-09-25
167;2941;27.0;отказ от военкомата;425640А радиотелеграфист;Казахстан;Маштаково;;;Б3;;28.09.2022 15:49;2022-09-28
168;2943;28.0;отказ от военкомата;;ОАЭ;Домодедово;;;;1.0;28.09.2022 15:57;2022-09-28
169;2949;30.0;отказ от военкомата;оркестр;;Внуково;;;1;;28.09.2022 16:07;2022-09-28
170;2949;30.0;отказ от военкомата;не служил;;Внуково;;;;;28.09.2022 16:07;2022-09-28
171;2952;32.0;;стрелок, сержант;Армения;Шереметьево;;;;;28.09.2022 16:13;2022-09-28
172;2959;41.0;долг;не служил;Турция;Пулково;;;;;28.09.2022 16:33;2022-09-28
173;2966;27.0;отказ от военкомата;886040, вожатый собак;;Домодедово;;;;;27.09.2022 16:37;2022-09-27
174;2970;22.0;отказ от военкомата;не служил, приписное;Грузия;Верхний Ларс;;;;;28.09.2022 16:41;2022-09-28
175;2982;26.0;отказ от военкомата;;Казахстан;Орск;;;;;28.09.2022 17:09;2022-09-28
176;2984;30.0;отказ от военкомата;пулемётчик;Казахстан;Петухово;;;А1;;28.09.2022 17:16;2022-09-28
177;3000;NULL;отказ в выезде иностранным государством;;Германия;Стамбул;;;;;28.09.2022 18:15;2022-09-28
178;3017;28.0;отказ от военкомата;904137А;Киргизия;Жуковский;;;А;;27.09.2022 23:10;2022-09-27
179;3021;NULL;;стрелок;ОАЭ;Уфа;;;1;;28.09.2022 19:53;2022-09-28
180;3033;23.0;отказ от военкомата;военная кафедра;Таджикистан;Домодедово;;Москва;Б;;28.09.2022 20:45;2022-09-28
181;3040;28.0;отказ от военкомата;старший стрелок;Таджикистан;Новосибирск;;;А2;;28.09.2022 21:02;2022-09-28
182;3043;30.0;отказ от военкомата;военная кафедра;Казахстан;Новосибирск;;;;1.0;28.09.2022 21:10;2022-09-28
183;3057;26.0;отказ от военкомата;артиллерия, военная кафедра;Турция;Домодедово;;;;;27.09.2022 23:17;2022-09-27
184;3063;NULL;отказ в выезде иностранным государством;;Германия;Стамбул;;;;;28.09.2022 22:42;2022-09-28
185;3071;25.0;отказ от военкомата;;Казахстан;Маштаково;;;А1;;27.09.2022 23:20;2022-09-27
186;3078;NULL;отказ от военкомата;;Казахстан;Маштаково;;Ярославская область;;;28.09.2022 23:45;2022-09-28
187;3078;NULL;отказ от военкомата;;Казахстан;Маштаково;;Ярославская область;;;28.09.2022 23:45;2022-09-28
188;3078;NULL;отказ от военкомата;;Казахстан;Маштаково;;Ярославская область;;;28.09.2022 23:45;2022-09-28
189;3078;NULL;отказ от военкомата;;Казахстан;Маштаково;;Ярославская область;;;28.09.2022 23:45;2022-09-28
190;3078;NULL;отказ от военкомата;;Казахстан;Маштаково;;Ярославская область;;;28.09.2022 23:45;2022-09-28
191;3078;NULL;отказ от военкомата;;Казахстан;Маштаково;;Астраханская область;;;28.09.2022 23:45;2022-09-28
192;3079;31.0;отказ от военкомата;ПВО, военная кафедра, офицер;Киргизия;Красноярск;;Ленинградская область;;;28.09.2022 23:47;2022-09-28
193;3081;39.0;отказ во въезде;;Молдова;Ереван;;;;;28.09.2022 23:52;2022-09-28
194;3098;22.0;отказ от военкомата;служил;Армения;Внуково;;;А;;29.09.2022 9:07;2022-09-29
195;3102;29.0;отказ от военкомата;служил;Армения;Сочи;;Республика Карелия;;1.0;28.09.2022 9:15;2022-09-28
196;3116;34.0;отказ от военкомата;;;;;;В;;29.09.2022 9:34;2022-09-29
197;3116;34.0;долг;;;;;;В;;26.09.2022 9:34;2022-09-26
198;3116;34.0;долг;;;;;;В;;27.09.2022 9:34;2022-09-27
199;3118;21.0;;;Грузия;Верхний Ларс;;;В;;29.09.2022 9:37;2022-09-29
