id,msg_id,case_mes_id,case_type,age,sex,cause,army_relations,vus,army_type,army_sec_type,army_other,country,kpp,yService,voenk_region,voenk_city,voenk_district,kategory_h,kategory_z,date
149,2802,NULL,NULL,37,NULL,,NULL,NULL,NULL,NULL,"офицер запаса, ВМФ",Казахстан,Петухово,,"Ленинградская область",NULL,NULL,Б1,,2022-09-28
150,2808,NULL,NULL,26,NULL,"отказ от военкомата",NULL,NULL,NULL,NULL,ВМФ,Турция,Шереметьево,,"Архангельская область",NULL,NULL,,,2022-09-28
151,2815,NULL,NULL,26,NULL,"отказ от военкомата",NULL,NULL,NULL,NULL,"военная кафедра",Узбекистан,Шереметьево,,,NULL,NULL,,,2022-09-27
152,2819,NULL,NULL,NULL,NULL,,NULL,NULL,NULL,NULL,"связист сержант",Таджикистан,Домодедово,2013-2014,,NULL,NULL,А,,2022-09-28
153,2831,NULL,NULL,37,NULL,,NULL,NULL,NULL,NULL,"военная кафедра",Финляндия,Торфяновка,,,NULL,NULL,А,,2022-09-28
154,2831,NULL,NULL,28,NULL,,NULL,NULL,NULL,NULL,"военная кафедра",Казахстан,Петухово,,,NULL,NULL,А,,2022-09-26
155,2835,NULL,NULL,25,NULL,"испорченный паспорт",NULL,NULL,NULL,NULL,,Казахстан,Аксарайский,2017-2018,,NULL,NULL,А,,2022-09-28
156,2846,NULL,NULL,38,NULL,"отказ от военкомата",NULL,NULL,NULL,NULL,"военная кафедра",Грузия,"Верхний Ларс",,Санкт-Петербург,NULL,NULL,,,2022-09-27
157,2847,NULL,NULL,31,NULL,,NULL,NULL,NULL,NULL,служил,Узбекистан,Внуково,,,NULL,NULL,,,2022-09-28
158,2854,NULL,NULL,38,NULL,,NULL,NULL,ВМФ,NULL,"100, офицер",Казахстан,Петухово,,Санкт-Петербург,NULL,NULL,Б,,2022-09-28
159,2860,NULL,NULL,27,NULL,"отказ от военкомата",NULL,NULL,NULL,NULL,"танкист, сержант, контрактник",Казахстан,Вишнёвка,,"Нижний Новгород",NULL,NULL,,,2022-09-28
160,2866,NULL,NULL,27,NULL,"отказ от военкомата",NULL,NULL,NULL,NULL,"помощник делопроизводителя",Грузия,"Верхний Ларс",,,NULL,NULL,Б,,2022-09-28
161,2875,NULL,NULL,NULL,NULL,"отказ от военкомата",NULL,NULL,NULL,NULL,124182,,Внуково,,,NULL,NULL,,,2022-09-27
162,2890,NULL,NULL,21,NULL,,NULL,NULL,NULL,NULL,стрелок,Казахстан,,2020-2021,,NULL,NULL,,,2022-09-28
163,2896,NULL,NULL,NULL,NULL,"отказ от военкомата",NULL,NULL,NULL,NULL,служил,Египет,Внуково,,Москва,NULL,NULL,А1,,2022-09-28
164,2902,NULL,NULL,24,NULL,,NULL,NULL,NULL,NULL,,Грузия,"Верхний Ларс",,,NULL,NULL,А,,2022-09-28
165,2908,NULL,NULL,NULL,NULL,"отказ от военкомата",NULL,NULL,NULL,NULL,"военная кафедра",Грузия,"Верхний Ларс",,,NULL,NULL,,,2022-09-25
166,2908,NULL,NULL,NULL,NULL,,NULL,NULL,NULL,NULL,служил,Грузия,"Верхний Ларс",,,NULL,NULL,,,2022-09-25
167,2941,NULL,NULL,27,NULL,"отказ от военкомата",NULL,NULL,NULL,NULL,"425640А радиотелеграфист",Казахстан,Маштаково,,,NULL,NULL,Б3,,2022-09-28
168,2943,NULL,NULL,28,NULL,"отказ от военкомата",NULL,NULL,NULL,NULL,,ОАЭ,Домодедово,,,NULL,NULL,,1,2022-09-28
